got the gps:Lat: 38.76436950, Lng: -9.11946283
got the gps:Lat: 38.76436917, Lng: -9.11946300
got the gps:Lat: 38.76436917, Lng: -9.11946300
got the gps:Lat: 38.76436917, Lng: -9.11946300
got the gps:Lat: 38.76436917, Lng: -9.11946300
got the gps:Lat: 38.76436917, Lng: -9.11946300
got the gps:Lat: 38.76436917, Lng: -9.11946300
got the gps:Lat: 38.76436917, Lng: -9.11946300
got the gps:Lat: 38.76436917, Lng: -9.11946300
got the gps:Lat: 38.76436850, Lng: -9.11946333
got the gps:Lat: 38.76436850, Lng: -9.11946333
got the gps:Lat: 38.76436850, Lng: -9.11946333
got the gps:Lat: 38.76436850, Lng: -9.11946333
got the gps:Lat: 38.76436850, Lng: -9.11946333
got the gps:Lat: 38.76436850, Lng: -9.11946333
got the gps:Lat: 38.76436850, Lng: -9.11946333
got the gps:Lat: 38.76436850, Lng: -9.11946333
got the gps:Lat: 38.76436767, Lng: -9.11946383
got the gps:Lat: 38.76436767, Lng: -9.11946383
got the gps:Lat: 38.76436767, Lng: -9.11946383
got the gps:Lat: 38.76436767, Lng: -9.11946383
got the gps:Lat: 38.76436767, Lng: -9.11946383
got the gps:Lat: 38.76436767, Lng: -9.11946383
got the gps:Lat: 38.76436767, Lng: -9.11946383
got the gps:Lat: 38.76436767, Lng: -9.11946383
got the gps:Lat: 38.76436733, Lng: -9.11946400
got the gps:Lat: 38.76436733, Lng: -9.11946400
got the gps:Lat: 38.76436733, Lng: -9.11946400
got the gps:Lat: 38.76436733, Lng: -9.11946400
got the gps:Lat: 38.76436733, Lng: -9.11946400
got the gps:Lat: 38.76436733, Lng: -9.11946400
got the gps:Lat: 38.76436733, Lng: -9.11946400
got the gps:Lat: 38.76436733, Lng: -9.11946400
got the gps:Lat: 38.76436733, Lng: -9.11946417
got the gps:Lat: 38.76436733, Lng: -9.11946417
got the gps:Lat: 38.76436733, Lng: -9.11946417
got the gps:Lat: 38.76436733, Lng: -9.11946417
got the gps:Lat: 38.76436733, Lng: -9.11946417
got the gps:Lat: 38.76436733, Lng: -9.11946417
got the gps:Lat: 38.76436733, Lng: -9.11946417
got the gps:Lat: 38.76436733, Lng: -9.11946417
got the gps:Lat: 38.76436750, Lng: -9.11946450
got the gps:Lat: 38.76436750, Lng: -9.11946450
got the gps:Lat: 38.76436750, Lng: -9.11946450
got the gps:Lat: 38.76436750, Lng: -9.11946450
got the gps:Lat: 38.76436750, Lng: -9.11946450

got the gps:Lat: 38.76436467, Lng: -9.11946900
got the gps:Lat: 38.76436467, Lng: -9.11946900
got the gps:Lat: 38.76436467, Lng: -9.11946900
got the gps:Lat: 38.76436467, Lng: -9.11946900
got the gps:Lat: 38.76436467, Lng: -9.11946900
got the gps:Lat: 38.76436467, Lng: -9.11946900
got the gps:Lat: 38.76436467, Lng: -9.11946900
got the gps:Lat: 38.76436467, Lng: -9.11946900
got the gps:Lat: 38.76436400, Lng: -9.11947000
got the gps:Lat: 38.76436400, Lng: -9.11947000
got the gps:Lat: 38.76436400, Lng: -9.11947000
got the gps:Lat: 38.76436400, Lng: -9.11947000
got the gps:Lat: 38.76436400, Lng: -9.11947000
got the gps:Lat: 38.76436400, Lng: -9.11947000
got the gps:Lat: 38.76436400, Lng: -9.11947000
got the gps:Lat: 38.76436400, Lng: -9.11947000
got the gps:Lat: 38.76436317, Lng: -9.11947067
got the gps:Lat: 38.76436317, Lng: -9.11947067
got the gps:Lat: 38.76436317, Lng: -9.11947067
got the gps:Lat: 38.76436317, Lng: -9.11947067
got the gps:Lat: 38.76436317, Lng: -9.11947067
got the gps:Lat: 38.76436317, Lng: -9.11947067
got the gps:Lat: 38.76436317, Lng: -9.11947067
got the gps:Lat: 38.76436317, Lng: -9.11947067
got the gps:Lat: 38.76436233, Lng: -9.11947150
got the gps:Lat: 38.76436233, Lng: -9.11947150
got the gps:Lat: 38.76436233, Lng: -9.11947150
got the gps:Lat: 38.76436233, Lng: -9.11947150
got the gps:Lat: 38.76436233, Lng: -9.11947150
got the gps:Lat: 38.76436233, Lng: -9.11947150
got the gps:Lat: 38.76436233, Lng: -9.11947150
got the gps:Lat: 38.76436233, Lng: -9.11947150
got the gps:Lat: 38.76436167, Lng: -9.11947250
got the gps:Lat: 38.76436167, Lng: -9.11947250
got the gps:Lat: 38.76436167, Lng: -9.11947250
got the gps:Lat: 38.76436167, Lng: -9.11947250
got the gps:Lat: 38.76436167, Lng: -9.11947250
got the gps:Lat: 38.76436167, Lng: -9.11947250
got the gps:Lat: 38.76436167, Lng: -9.11947250
got the gps:Lat: 38.76436167, Lng: -9.11947250
got the gps:Lat: 38.76436083, Lng: -9.11947350
got the gps:Lat: 38.76436083, Lng: -9.11947350
got the gps:Lat: 38.76436083, Lng: -9.11947350
got the gps:Lat: 38.76436083, Lng: -9.11947350
got the gps:Lat: 38.76436083, Lng: -9.11947350
got the gps:Lat: 38.76436083, Lng: -9.11947350
got the gps:Lat: 38.76436083, Lng: -9.11947350
avg got the gps:Lat: 38.76436240, Lng: -9.11947163

